cluster,count,asr,score,bonus,reward,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
0,53,0.043625348797010424,0.7758651139601221,885.9255121302666,910.1945790704691,-0.5191499311132075,0.5665111571698113,-0.9597681201886792,0.6059877664150943,-29.809415104254235,1.0,131190.16981132075
1,57,0.1601213551323108,0.8045641309336612,87.15008711923161,111.47430875008567,-0.6663907201052631,0.2848556789122807,-0.8523502224035088,0.6733762259403508,-32.695478425737015,1.0,132170.7894736842
2,73,0.1996772340600126,0.8302791984113929,147.19190163919814,171.44913012360874,-0.5663759596315069,0.42431784534246575,-0.8271046075890411,0.8001181940958904,-30.060057774798512,1.0,125959.0
3,22,0.016902144267484116,0.751647028056058,1730.2316634656136,1753.888528997248,-0.6183610886818182,0.6904815854545455,-0.99845385,0.7100369627272728,-31.89099590886723,1.006645213473927,93817.86363636363
4,105,0.18076333775199271,0.7736011970610845,230.9863091045894,255.18061952136813,-0.5959348632095238,0.5232211254857143,-0.9203974635619047,0.8323209374761905,-28.25811258100328,1.113113902864002,127596.30476190476
5,130,0.560248233063265,0.7704577950330881,57.784334627481606,168.44825300158854,-0.3097335446392308,-0.027826988401538445,-0.7547469146615384,0.4576137468784615,-33.353807084835495,1.0514932733315687,124406.7923076923
6,74,0.32270725219135665,0.7962327945876766,128.4757189983435,152.5517609054978,-0.7153113676756757,0.35914486575675675,-0.8201163945945946,0.8661241952702702,-33.80232857489908,1.0,116804.36486486487
7,25,0.07123521869212138,0.8191819047927856,71.0208551935674,95.26357559204102,-0.7006241102,0.24466306056,-0.9437761924,0.808396156,-30.782629323005676,1.0770856499671937,126435.04
8,67,0.08314821479541816,0.7772667888385146,463.9118353675261,488.1056303337439,-0.6818724048656716,0.47150605895522385,-0.8973663374591045,0.7530827849,-30.075585551893532,1.0054071198648482,126186.0
9,8,0.015930860067307883,0.7498505786061287,2687.383566510073,2711.217526435852,-0.6783073995,0.60283999125,-0.9742880025,0.641589050875,-27.215076237916946,1.0266530364751816,106068.25
