step,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,session_step,session_progress_pct,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
125935,20997.90625,0.8199934363365173,20974.068532080582,9,-1.0,0.34029442,-1.0,0.17913526,-20.0,1.0,98267,23535.0,28.729248046875,-1.0,0.86284745,-0.76646006,1.0,0.90131235,-1.0,-0.317252,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.5710536
176609,5539.32470703125,0.9257136583328248,5514.402076773513,3,-1.0,0.41014022,-1.0,0.35760152,-20.0,1.0,160000,74209.0,90.587158203125,-0.442842,1.0,-0.25083244,1.0,1.0,-1.0,0.70385164,-0.79711556,1.0,-0.4514984,1.0,1.0,-1.0,1.0
167482,5529.7255859375,0.7478826642036438,5505.55119632154,3,-1.0,0.40079653,-1.0,-0.13352394,-52.59207487106323,1.0,125752,65082.0,79.44580078125,-0.65534675,1.0,-0.7673058,0.31731415,-0.4940768,-0.115692616,-0.0026980937,-1.0,1.0,-1.0,0.57116544,-0.8893382,-0.20824671,-0.0048565683
173101,5358.47509765625,0.8981831073760986,5333.582359738102,3,-1.0,0.41026485,-0.9757354,0.35843217,-25.19371032714844,1.0,160000,70701.0,86.304931640625,-0.92598575,1.0,-0.13842058,1.0,0.26874226,-1.0,0.66232324,-1.0,1.0,-0.24915704,1.0,0.48373607,-1.0,1.0
173103,5257.87353515625,0.8812448978424072,5233.000045472181,3,-0.019845277,0.41026485,-1.0,0.35843217,-42.75294661521912,1.0,160000,70703.0,86.307373046875,0.26119706,1.0,-1.0,1.0,-0.21901429,-1.0,1.0,0.4701547,1.0,-1.0,1.0,-0.39422572,-1.0,1.0
165603,4237.91259765625,0.5793144106864929,4214.989015136757,3,-1.0,0.40136653,-1.0,0.29911035,-20.0,1.0,62050,63203.0,77.152099609375,-1.0,0.6277005,-0.8858142,1.0,0.5243822,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9438879,-1.0,-1.0
103607,3929.06201171875,0.6184027791023254,3905.64086280358,3,0.373321,0.4077536,-1.0,0.3416906,-20.0,1.0,89719,1207.0,1.473388671875,0.47962278,0.7056875,-0.7867044,1.0,1.0,-1.0,-0.3141964,0.863321,1.0,-1.0,1.0,1.0,-1.0,-0.56555355
175617,3772.814453125,0.6488834619522095,3749.7807521535833,3,0.115855426,0.41132498,-1.0,0.2088545,-34.73168790340424,1.0,61838,73217.0,89.376220703125,0.33658636,0.7157083,-0.6413664,0.4685303,0.0039947927,-0.7882701,-1.0,0.6058554,1.0,-1.0,0.8433545,0.0071906266,-1.0,-1.0
165601,3681.54736328125,0.5026599168777466,3657.264499045641,3,-1.0,0.40124315,-1.0,-0.16978419,-45.52725255489349,1.1461946964263916,160000,63201.0,77.149658203125,-1.0,0.55548704,-1.0,0.2950586,-0.29772615,-0.016583383,0.929571,-1.0,0.9998766,-1.0,0.53110546,-0.5359071,-0.029850088,1.0
137589,2663.40478515625,0.9663426280021667,2639.6698153615034,0,0.06484392,0.43950063,-1.0,0.54383695,-20.0,1.0,81237,35189.0,42.955322265625,0.30912632,0.58274084,-0.4660352,0.8888624,1.0,-0.58345425,-0.37578836,0.55642736,1.0,-0.8388633,1.0,1.0,-1.0,-0.676419
137870,2592.149658203125,0.8530257940292358,2568.8485175272604,0,-1.0,0.18148291,-1.0,0.48822808,-46.04057490825653,1.0,61445,35470.0,43.29833984375,-1.0,0.41763818,-1.0,1.0,-0.30673188,-0.48862344,-0.89614546,-1.0,0.7517487,-1.0,1.0,-0.55211735,-0.87952214,-1.0
137587,2497.920654296875,0.9053347110748292,2473.020065940728,0,-1.0,0.43950063,-1.0,0.54383695,-20.0,1.0,160000,35187.0,42.952880859375,-0.8546641,1.0,-1.0,0.6031178,1.0,-0.55056703,1.0,-1.0,1.0,-1.0,1.0,1.0,-0.9910206,1.0
124986,2414.730712890625,0.9720965623855592,2391.329397819868,0,-1.0,0.45025855,-1.0,0.23195782,-20.0,1.0,59495,22586.0,27.57080078125,-1.0,1.0,-1.0,0.3484218,1.0,-0.710241,-1.0,-1.0,1.0,-1.0,0.62715924,1.0,-1.0,-1.0
124989,2412.43994140625,0.9711657166481018,2389.039544257014,0,-1.0,0.45025855,-1.0,0.28384933,-20.0,1.0,59495,22589.0,27.574462890625,-1.0,0.9466115,-0.47774035,0.37725043,0.8986968,-0.3440948,-1.0,-1.0,1.0,-0.8599326,0.67905074,1.0,-0.61937064,-1.0
181187,2354.102294921875,0.7887484431266785,2329.339542279422,0,-0.51156163,0.43072438,-1.0,0.49410474,-26.44872546195984,1.0,160000,78787.0,96.175537109375,-0.011911627,1.0,-1.0,1.0,0.2376025,-1.0,0.7236863,-0.021440927,1.0,-1.0,1.0,0.4276845,-1.0,1.0
181189,2292.515869140625,0.7679034471511841,2267.779898254139,0,0.025659084,0.37722808,-1.0,0.49410474,-20.0,1.0,160000,78789.0,96.177978515625,0.28654432,0.5258354,-1.0,0.93485487,1.0,-0.9348379,1.0,0.5157798,0.9465037,-1.0,1.0,1.0,-1.0,1.0
151468,2283.832275390625,0.9697985649108888,2260.441047571703,0,-1.0,0.4553728,-1.0,0.6337794,-55.08457660675049,1.0,59004,49068.0,59.8974609375,-0.87624055,1.0,-1.0,1.0,-1.0,-0.417956,-0.5921849,-1.0,1.0,-1.0,1.0,-1.0,-0.75232077,-1.0
110769,2181.7744140625,0.9704275727272034,2158.3887850319343,0,0.1755951,0.18347836,-1.0,-0.12199178,-50.11467695236206,1.0,58598,8369.0,10.216064453125,0.37251556,0.40215603,-1.0,0.12238276,-0.41711164,-0.17896444,-0.82070845,0.670528,0.7238808,-1.0,0.22028896,-0.7508009,-0.32213598,-1.0
151462,2167.315185546875,0.9198318719863892,2143.976899464485,0,-1.0,0.4553728,-0.81992155,0.6337794,-20.0,1.0,59004,49062.0,59.89013671875,-1.0,0.7417065,-0.083703995,1.0,0.91248375,-1.0,-0.59933454,-1.0,1.0,-0.15066719,1.0,1.0,-1.0,-1.0
151464,2052.42138671875,0.8698858022689819,2027.560820663132,0,-1.0,0.4553728,-1.0,0.56154704,-29.25517439842224,1.0,160000,49064.0,59.89257812499999,-0.6186526,0.87237525,-1.0,0.51542646,0.16192782,-0.14210564,1.0,-1.0,1.0,-1.0,0.9277676,0.29147008,-0.25579014,1.0
151470,1958.070556640625,0.8296683430671692,1933.8205338674184,0,-0.41178697,0.39271796,-1.0,0.6337794,-20.0,1.0,123949,49070.0,59.89990234375,0.045801014,0.5207473,-1.0,1.0,1.0,-1.0,0.008203894,0.08244182,0.93734515,-1.0,1.0,1.0,-1.0,0.014767009
182880,1906.281494140625,0.6438599824905396,1883.2644752004053,0,-0.813818,0.43184322,-1.0,0.50044465,-55.00614404678345,1.0,61263,80480.0,98.2421875,-0.1797282,0.8498829,-1.0,1.0,-1.0,-1.0,-1.0,-0.32351074,1.0,-1.0,1.0,-1.0,-1.0,-1.0
148265,1907.6363525390625,0.8484883308410645,1882.8006683759668,0,0.14645746,0.4598018,-1.0,0.28904027,-20.0,1.0,160000,45865.0,55.987548828125,0.3563469,0.77750593,-0.32177898,0.35009098,1.0,-0.194543,1.0,0.6414244,1.0,-0.5792022,0.6301637,1.0,-0.3501774,1.0
152869,1869.9454345703125,0.6299057602882385,1845.40756860622,0,-0.34572488,0.43165714,-1.0,0.4993906,-20.0,1.0,160000,50469.0,61.60766601562499,0.08030629,0.76607484,-0.64581025,0.66564655,0.5427587,-0.71383846,1.0,0.14455132,1.0,-1.0,1.0,0.97696567,-1.0,1.0
175246,1850.6761474609373,0.6488891839981079,1826.1085956962347,0,-0.9421237,0.4362294,-1.0,0.5253,-53.86184334754944,1.0,160000,72846.0,88.92333984375,-0.25060305,1.0,-1.0,1.0,-0.5233633,-0.784659,1.0,-0.45108548,1.0,-1.0,1.0,-0.9420539,-1.0,1.0
158865,1843.9210205078125,0.5846909880638123,1820.9974145752933,0,-0.008783013,0.42904896,-1.0,0.48365992,-20.0,1.0,61460,56465.0,68.927001953125,0.26734278,0.9472884,-0.6262077,1.0,0.6499932,-1.0,-0.6423354,0.481217,1.0,-1.0,1.0,1.0,-1.0,-1.0
150041,1834.1470947265625,0.9635053277015686,1810.7891392336428,8,-1.0,0.47325242,-1.0,0.73509705,-28.396694660186768,1.0,57287,47641.0,58.15551757812501,-0.4509717,1.0,-1.0,0.74590576,0.18743002,-0.6814277,-0.5943532,-0.81174904,1.0,-1.0,1.0,0.33737403,-1.0,-1.0
