step,reward,score,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1,124.464343,124.464343,-1.0,0.8775451,-0.9529596,0.9833581,-44.38087224960327,4.267001807689667,74604
2,101.481207,101.481207,1.0,-0.22617662,-0.5045438,-0.8929946,-53.05984377861023,1.0,82812
3,83.933996,83.933996,-0.15161316,-0.021728806,-1.0,-0.62720436,-47.35807359218597,11.0,76631
4,100.869028,100.869028,-0.039673302,-0.62133485,0.3540322,1.0,-33.07805895805359,11.0,156673
5,106.932744,106.932744,0.99332553,-0.114502415,1.0,0.5618234,-56.984626054763794,11.0,160000
6,84.496701,84.496701,-0.2544243,0.025726091,-0.5814723,-0.93127334,-60.0,1.4424312710762024,130258
7,82.210614,82.210614,1.0,-1.0,-0.2590014,1.0,-20.0,1.0,128092
8,81.027453,81.027453,0.9523722,1.0,-1.0,-1.0,-40.53746331483126,4.82818341255188,99571
9,93.774001,93.774001,0.5933051,0.34052604,0.85980403,0.43631238,-28.879815340042114,3.8867124021053314,142225
10,91.861351,91.861351,0.09411676,-1.0,0.9380762,-0.8104737,-20.0,6.320069082081318,115862
11,114.337434,114.337434,-0.36513388,0.17454985,0.24508612,-0.08333183,-21.55037760734558,9.504603505134584,116635
12,96.326546,96.326546,-0.8158853,-0.3510541,-0.4007553,0.824694,-29.148722887039185,6.733117759227753,32000
13,97.601799,97.601799,1.0,1.0,-0.2525429,0.91435987,-25.79074740409851,1.841669738292694,151956
14,90.936556,90.936556,-0.14654738,0.3584605,0.23644379,0.29269314,-36.00591480731964,1.9284549951553345,133812
15,102.870374,102.870374,0.9493739,-0.86276215,0.21802855,-0.7643937,-20.0,6.947128385305405,133109
16,74.77387,74.77387,0.038845446,-0.9830607,-1.0,-0.4224624,-20.0,1.0,160000
17,90.574461,90.574461,0.61523366,-0.9870023,-0.88772476,0.6131785,-20.0,5.259303286671639,75970
18,100.367499,100.367499,-0.79723084,-1.0,1.0,0.34490964,-52.32417345046997,11.0,59688
19,114.251281,114.251281,1.0,0.29662365,0.15833217,0.49317685,-20.0,8.037675529718399,121661
20,93.043388,93.043388,-1.0,-0.11837962,-0.05145374,-0.22540995,-30.51372230052948,10.491944015026093,61735
21,107.14712,107.14712,-0.6544125,0.105805874,0.16099289,-0.5339049,-55.67782402038574,5.31426078081131,56969
22,109.141317,109.141317,1.0,0.6187308,-0.22702135,0.5917914,-60.0,3.3646900057792664,74129
23,76.013683,76.013683,-1.0,-1.0,0.1978116,-1.0,-55.52156686782837,10.946222007274628,160000
24,95.552615,95.552615,1.0,1.0,-0.43022025,1.0,-43.3363351225853,5.782814420759678,43399
25,82.803942,82.803942,1.0,-0.40299013,-1.0,0.42284593,-57.11546063423157,8.333049923181534,32000
26,122.485661,122.485661,0.44475675,-0.14875129,0.75099766,-0.25742453,-32.42643713951111,11.0,160000
27,80.764178,80.764178,1.0,0.42685598,-0.13953575,0.82705474,-20.0,1.0,147930
28,93.270515,93.270515,0.9176633,-0.023950435,1.0,-0.3498251,-52.3384964466095,4.634804785251617,36258
29,104.658854,104.658854,-0.9187437,-1.0,-1.0,0.3430829,-37.56601721048355,11.0,57899
30,95.828586,95.828586,0.76745814,0.97191,0.8394531,0.80076176,-52.47177839279175,11.0,131049
31,95.693279,95.693279,-1.0,-0.148293,-0.34785768,-1.0,-46.09967052936554,1.0,160000
32,87.934697,87.934697,-0.07569986,0.10012826,-1.0,-0.13643986,-35.39744704961777,4.72202605009079,144181
33,112.365655,112.365655,-0.36504415,0.52804947,0.31126747,0.9291035,-43.66772294044495,7.47808164358139,111127
34,110.82941,110.82941,1.0,-0.7710413,0.88958883,0.27073693,-60.0,11.0,84958
35,77.435948,77.435948,-0.48887065,-0.094054565,-1.0,-1.0,-30.99267899990081,5.1849397867918015,74371
36,82.1728,82.1728,-1.0,1.0,-1.0,1.0,-60.0,11.0,117354
37,98.608161,98.608161,-0.20403588,-0.1154736,-0.36928242,0.5794368,-38.355511873960495,11.0,55376
38,73.167972,73.167972,-1.0,-0.51853675,0.86853004,0.4563646,-49.728925824165344,4.419253081083298,32000
39,114.615034,114.615034,-0.75459564,1.0,0.995322,-0.34196246,-38.69146943092346,9.916540145874023,146454
40,86.766168,86.766168,0.43613842,-0.02814405,1.0,-0.39511028,-28.45369577407837,11.0,32000
41,87.745654,87.745654,1.0,-0.46359763,-1.0,1.0,-48.70608448982239,11.0,32000
