step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,session_step,session_progress_pct
1,9.82337495315117,2.553716171860288e-07,1.2768580859301435e-05,-1.0,0.28346133,0.6030641,-0.0784934,-44.30374801158905,1.9569954872131348,129172,,
2,5.304770323259596,1.7955701370198083e-09,8.977850685099042e-08,-1.0,-1.0,-1.0,-1.0,-60.0,11.0,155082,,
3,11.511880325636955,1.3862475043424638e-06,6.931237521712319e-05,-0.707,-1.0,-1.0,0.60356,-44.041522443294525,1.0,75645,,
4,13.426382748907477,9.405707714904564e-06,0.0004702853857452,-1.0,-1.0,0.63301563,0.62662494,-26.126281023025516,1.0,160000,,
5,9.194965844299364,1.3575963464518281e-07,6.787981732259141e-06,-0.023190618,-1.0,-1.0,0.8082825,-50.08738160133362,3.3539698123931885,160000,,
6,22.925393917835,0.029187899082899,1.459394954144955,-0.5298377,-1.0,0.33542514,-0.6561269,-53.11469554901123,1.0,160000,,
7,18.80471543790068,0.0018581182230263,0.0929059111513197,-0.6910888,-0.68966985,-0.18267089,-0.46899828,-27.40647554397583,1.0,132095,,
8,13.44792444307286,9.61044406722067e-06,0.000480522203361,-1.0,-0.78819954,-0.35971412,-0.019865066,-41.53150677680969,1.0,90709,,
9,7.63234855331536,2.7663169532843312e-08,1.3831584766421656e-06,-1.0,-1.0,0.76824886,1.0,-48.29187333583832,11.0,160000,,
10,14.580495151908242,2.9799219191772863e-05,0.0014899609595886,0.024304926,-1.0,-1.0,-0.13823238,-48.44128787517548,1.0,116129,,
11,73.28984534188717,0.9664788246154784,48.323941230773926,-1.0,-0.9886516,0.41899312,-0.710186,-37.74889096617699,1.0075337290763855,160000,,
12,15.27485369389131,5.95828823861666e-05,0.0029791441193083,0.69126904,-0.8357088,-1.0,0.6917759,-30.64416766166687,1.0,160000,,
13,14.48200458928834,2.7007854441762905e-05,0.0013503927220881,-1.0,-1.0,-1.0,-0.06639303,-43.890029191970825,2.187271475791931,112281,,
14,27.895007364776134,0.1033020988106727,5.165104940533638,-1.0,-1.0,-0.5618869,0.27612016,-20.049095153808597,1.0,160000,,
15,9.829594486779635,2.5697107730593416e-07,1.2848553865296708e-05,-1.0,-0.050732553,-0.9096584,0.13590795,-60.0,8.593699097633362,160000,,
16,5.304770323259596,1.7955701370198083e-09,8.977850685099042e-08,-1.0,-0.23344421,-0.76932013,-1.0,-40.17615977674723,1.0,160000,,
17,29.04557242714762,0.1228476539254188,6.142382696270943,0.14984375,0.13351095,-0.9174663,-0.88543856,-60.0,1.0,160000,,
18,30.208046803139588,0.1430518925189972,7.15259462594986,-0.45092112,-1.0,0.52055824,0.20494336,-45.21829605102539,1.0,153574,,
19,5.304770323259596,1.7955701370198083e-09,8.977850685099042e-08,-1.0,-1.0,-0.85693824,-1.0,-20.0,6.871624052524567,95207,,
20,20.10614234222872,0.0056488630361855,0.2824431518092751,0.42649287,-1.0,0.026739538,0.31744066,-25.657814741134644,1.0,126398,,
21,13.98325070105086,1.6409818272222765e-05,0.0008204909136111,0.5730027,-0.7419236,-1.0,-0.8140776,-20.0,1.0,120584,,
22,5.304770323259596,1.7955701370198083e-09,8.977850685099042e-08,0.48027092,-1.0,-1.0,-1.0,-24.390196800231934,3.525515854358673,160000,,
23,5.847846423635716,3.8119964962390895e-09,1.905998248119545e-07,0.09551233,-0.9766665,-0.010077894,0.5450609,-35.812324583530426,6.022106766700745,41367,,
24,13.647216874703188,1.1728898243745787e-05,0.0005864449121872,0.075989425,-0.2482397,-1.0,-0.93341076,-42.07283422350884,3.144004702568054,160000,,
25,28.73519790673784,0.117525890469551,5.876294523477554,-1.0,0.297553,-0.60284853,-0.8187509,-37.21217811107636,1.0,124885,,
26,20.49355350941789,0.0075624003075063,0.3781200153753161,-1.0,-1.0,-0.39949238,0.78709096,-21.3466739654541,1.0,160000,,
27,13.71258833788101,1.2520821655925827e-05,0.0006260410827962,-0.027209401,-1.0,-0.26649058,0.45470974,-36.66132181882858,1.8199918270111084,160000,,
28,19.720425026229087,0.0041416613385081,0.2070830669254064,-0.79362845,-1.0,-1.0,1.0,-60.0,1.0,160000,,
29,72.00757324016442,0.9413600564002992,47.06800282001496,-1.0,-0.79623383,0.066970944,-0.7563472,-38.08922901749611,1.0,117342,,
30,9.986676177067524,3.008490239153616e-07,1.504245119576808e-05,-1.0,-0.2574072,-1.0,1.0,-34.14033114910126,7.833334863185883,92783,,
31,7.976252827293454,3.9427760611943086e-08,1.9713880305971543e-06,-1.0,-1.0,-0.9760072,-0.095052674,-41.26602590084076,9.049773275852203,160000,,
32,5.304770323259596,1.7955701370198083e-09,8.977850685099042e-08,0.6389755,-1.0,-0.7835967,-1.0,-52.95161843299866,1.0,160000,,
33,5.304770323259596,1.7955701370198083e-09,8.977850685099042e-08,-1.0,0.86008275,-1.0,-1.0,-57.479015588760376,1.0,160000,,
34,5.304770323259596,1.7955701370198083e-09,8.977850685099042e-08,-0.004647255,-1.0,-1.0,-1.0,-26.998883485794067,1.0,160000,,
35,50.595840636106445,0.5248111486434937,26.240557432174683,-0.4766335,-0.99115264,-1.0,-0.8213732,-32.046868205070496,1.0,160000,,
36,31.9463204177388,0.1739106774330139,8.695533871650696,-1.0,-1.0,-1.0,-0.31284344,-51.32256269454956,1.0,160000,,
37,18.50446190005455,0.0014075346989557,0.0703767349477857,0.071915865,-0.9851804,-1.0,1.0,-59.46417450904846,1.0,160000,,
38,26.601588628598627,0.0820422023534774,4.102110117673874,-1.0,-0.99907213,-0.4913449,0.046985358,-20.0,1.0,160000,,
39,5.304770323259596,1.7955701370198083e-09,8.977850685099042e-08,-0.7875166,-1.0,-0.6952842,-1.0,-60.0,1.0,160000,,
40,5.304766669596331,1.795559922967982e-09,8.97779961483991e-08,-0.11157477,-0.5069741,-0.6699104,-1.0,-50.69363355636597,1.0,160000,,
41,10.097291915225773,3.361543861046812e-07,1.680771930523406e-05,-0.705937,-0.8454519,-1.0,-0.0009549558,-38.214745074510574,3.3201531171798706,82878,,
42,22.915954445786817,0.0290759596973657,1.453797984868288,-0.9443755,0.10360938,-0.4832797,-0.36681068,-30.332473516464237,1.0,148108,,
