step,reward
1,10.13
2,9.77
3,5.3
4,8.27
5,9.39
6,5.3
7,10.55
8,12.53
9,8.55
10,10.15
11,9.25
12,5.3
13,10.45
14,5.3
15,9.43
16,13.82
17,12.54
18,12.12
19,10.37
20,5.3
21,9.8
22,10.44
23,8.01
24,16.07
25,5.3
26,13.16
27,15.21
28,12.1
29,8.04
30,7.73
31,5.3
32,10.05
33,5.3
34,8.76
35,5.3
36,5.3
37,9.49
38,8.97
39,9.48
40,9.61
41,12.67
42,14.64
43,9.71
44,5.3
45,5.3
46,5.3
47,13.42
48,15.91
49,8.57
50,5.3
51,5.3
52,12.22
53,5.3
54,5.3
55,5.3
56,5.3
57,7.92
58,13.14
59,10.51
60,5.3
61,9.64
62,5.3
63,9.3
64,5.3
65,8.85
66,10.78
67,5.3
68,5.3
69,5.3
70,9.0
71,5.3
72,14.53
73,8.99
74,5.3
75,5.3
76,5.3
77,5.3
78,15.11
79,8.83
80,10.92
81,9.45
82,14.39
83,11.75
84,12.63
85,5.3
86,14.6
87,14.14
88,6.95
89,12.66
90,5.3
91,5.3
92,7.9
93,9.35
94,11.83
95,5.3
96,8.83
97,5.3
98,13.22
99,6.67
100,8.14
101,9.97
102,10.87
103,9.48
104,9.98
105,8.09
106,14.23
107,9.53
108,9.46
109,5.3
110,14.08
111,9.94
112,9.73
113,8.86
114,8.97
115,9.62
116,14.58
117,5.3
118,11.87
119,8.46
120,12.41
121,5.3
122,5.3
123,7.99
124,10.18
125,10.17
126,9.97
127,11.25
128,8.64
129,9.39
130,5.3
131,9.59
132,8.89
133,10.25
134,12.35
135,9.34
136,9.38
137,5.3
138,14.87
139,9.22
140,8.24
141,6.45
142,11.01
143,9.05
144,11.53
145,12.92
146,7.28
147,8.54
148,14.83
149,5.3
150,11.33
151,5.3
152,9.91
153,8.97
154,12.69
155,5.3
156,8.89
157,9.04
158,14.48
159,10.05
160,9.46
161,5.3
162,15.22
163,9.1
164,5.3
165,8.67
166,9.78
167,9.12
168,9.35
169,9.19
170,11.95
171,8.34
172,13.92
173,9.83
174,5.3
175,10.63
176,15.39
177,5.3
178,13.68
179,14.11
180,8.73
181,9.03
182,9.03
183,5.3
184,5.79
185,8.71
186,11.83
187,9.24
188,9.15
189,5.3
190,9.52
191,8.77
192,9.05
193,5.3
194,5.3
195,9.19
196,5.3
197,15.34
198,17.53
199,5.3
200,5.3
201,11.2
202,8.15
203,5.3
204,13.92
205,11.7
206,9.24
207,11.73
208,5.3
209,10.1
210,9.49
211,5.3
