step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1,20.358071712779942,0.006845297757536173,0.34226488787680864,-1.0,-1.0,-0.8110456,-0.54647326,-48.74873697757721,1.0,160000
2,12.347182536814335,3.197024398104986e-06,0.0001598512199052493,-1.0,0.59067214,-0.9437972,-0.68036693,-27.24771022796631,1.0,124716
3,13.40554630161233,9.211822543875314e-06,0.0004605911271937657,-0.86014825,-1.0,-1.0,0.378985,-43.09503525495529,1.0,160000
4,8.926137644180486,1.0352207624464427e-07,5.176103812232213e-06,-0.07437873,-1.0,-1.0,0.70269835,-47.571014761924744,10.119583368301392,132369
5,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,0.15097308,-1.0,-1.0,-56.17853045463562,4.194795250892639,160000
6,13.557930842331066,1.0727513654273935e-05,0.0005363756827136967,-0.7958784,-1.0,-0.8719969,0.32056022,-52.09771394729614,1.0,129680
7,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,0.65191483,-1.0,-1.0,-25.042229890823364,2.8142199516296387,138925
8,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,1.0,0.04298097,-1.0,-20.0,1.0,160000
9,8.487807027263493,6.64286190499297e-08,3.3214309524964847e-06,-0.40579736,-1.0,0.029453933,0.19556618,-60.0,4.093341886997223,160000
10,14.473147893153486,2.6770019758259878e-05,0.0013385009879129939,-1.0,-0.96535015,-1.0,-0.13462324,-41.863048523664474,1.0,160000
11,21.836249582004633,0.01756356470286846,0.8781782351434231,-0.8882329,-0.21992403,-1.0,1.0,-25.818763971328735,1.0,160000
12,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.8203455,-1.0,-1.0,-1.0,-39.995322432368994,1.0,139079
13,14.788781786131944,3.6687302781501785e-05,0.0018343651390750892,0.6776078,-1.0,0.28176564,-0.32359996,-53.2625687122345,1.0,153901
14,18.214441701940036,0.001071054139174521,0.05355270695872605,-1.0,0.16985464,0.35566097,0.69456375,-30.696858763694763,1.2800828218460083,160000
15,19.82325798224756,0.004507115110754967,0.22535575553774834,0.46223354,-0.033792973,0.703132,-0.42721686,-60.0,1.0,160000
16,30.573565307251997,0.14948278665542603,7.474139332771301,-0.381409,0.235883,-1.0,0.14560723,-42.965338826179504,1.0,154490
17,8.861237321813444,9.695403235809863e-08,4.8477016179049315e-06,-0.99256235,-0.29061568,0.5969035,0.5965523,-53.20996046066284,5.374615848064423,160000
18,10.005083790709683,3.064567124511086e-07,1.532283562255543e-05,-0.1703279,-1.0,-1.0,1.0,-60.0,5.773701429367065,105227
19,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-1.0,-1.0,-1.0,-41.37206703424454,7.6027843952178955,160000
20,42.256720426269005,0.36527642607688904,18.263821303844452,-1.0,-1.0,0.3404308,0.07911837,-48.8161838054657,1.0,155808
21,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.20706195,0.37807858,-0.17511427,-1.0,-44.18149411678314,4.913107514381409,99956
22,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-0.40382165,-1.0,-1.0,-20.0,2.4740699529647827,157702
