step,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1,2.278250972778188,2.4770963946707525e-08,1.8578222960030644e-06,2,0.0,0.0,-0.5920517,0.4072178,-60.0,1.0,144145
2,1.455836453899736,2.333857374026138e-08,1.7503930305196036e-06,2,-1.0,0.0,-1.0,-0.039346397,-20.0,1.8076494932174683,96000
3,-0.6901781972597318,1.7955701370198085e-09,1.3466776027648564e-07,2,-0.828169,-0.662004,-0.45063207,-1.0,-39.14700411260128,6.0,160000
4,37.15005500089883,4.7618336357357904e-11,3.571375226801843e-09,0,-0.20006889,-0.557763,-0.9873553,-0.903108,-55.72859525680542,1.0309112668037415,96458
5,12.831578124143595,1.174700017259056e-07,8.81025012944292e-06,1,-1.0,-0.00041496754,-1.0,0.37605053,-37.85209000110626,4.581536412239075,142191
6,4.395766890518805,3.195503950337297e-08,2.396627962752973e-06,2,0.0,-1.0,0.044062853,0.7,-60.0,1.0,160000
7,2.5542971896122966,2.550974720350041e-08,1.9132310402625308e-06,2,-0.39074707,-0.8758997,-0.37661004,-0.023649514,-20.0,1.0,160000
8,7.4264338172314925,9.927992294933574e-08,7.445994221200181e-06,1,-1.0,0.0,-0.77654886,0.15376222,-40.11986391618848,6.0,160000
9,0.30982180274026816,1.7955701370198085e-09,1.3466776027648564e-07,2,-1.0,-1.0,0.2625093,-1.0,-39.965440426021814,1.0,160000
10,8.296459365825887,3.81644369440437e-08,2.8623327708032775e-06,6,-1.0,-1.0,0.21102273,0.7,-60.0,1.0,96000
11,0.25021805662495455,2.464705106675069e-09,1.8485288300063019e-07,2,-1.0,-1.0,-0.3017635,-0.6191486,-60.0,2.3923683762550354,160000
12,13.900830393956754,2.0211616913456965e-07,1.5158712685092723e-05,1,0.0,-1.0,-1.0,0.70000005,-20.987693071365356,1.0,128963
13,8.68361804116519,7.883976138600701e-08,5.912982103950526e-06,6,-1.0,0.0,0.3,0.7,-21.064399480819702,6.0,128400
14,-0.3624594472597319,1.7955701370198085e-09,1.3466776027648564e-07,2,-1.0,-1.0,-1.0,-1.0,-55.40393590927124,1.0,116974
15,58.2383969726359,1.3801962177317773e-11,1.035147163298833e-09,3,-0.5243454,-1.0,-1.0,-0.99718654,-23.95411729812622,1.0,96000
16,188.24126749053343,9.73607913040686e-12,7.302059347805145e-10,9,-1.0,-0.43865216,-0.5305754,-0.97297364,-37.80305773019791,1.0,160000
17,1.3473500741523639,2.055493375507922e-08,1.5416200316309414e-06,2,-1.0,0.0,-0.00894767,0.3143928,-43.54709506034851,6.0,160000
18,0.4125202645942571,2.9827200709320323e-09,2.2370400531990242e-07,2,-0.16775101,-1.0,-0.4887132,-0.20494539,-50.23900628089905,2.0510289669036865,151799
19,19.143219082362112,1.0180953302629803e-10,7.635714976972352e-09,8,-0.87336624,-1.0,-1.0,-0.65592396,-59.87527012825012,1.0,96000
20,12.665000352575817,1.1175741576607834e-07,8.381806182455875e-06,1,-1.0,-0.84180105,-1.0,0.15233657,-56.39241695404053,5.1898369789123535,160000
21,-0.6901781972597318,1.7955701370198085e-09,1.3466776027648564e-07,2,-1.0,-0.8031003,-1.0,-1.0,-51.402668952941895,6.0,160000
22,18.305473129450586,7.040675681357911e-11,5.280506761018433e-09,8,-0.38515902,-0.021871924,-1.0,0.07745808,-33.639901876449585,1.0,96000
23,0.0754865224445351,1.7955701370198085e-09,1.3466776027648564e-07,2,-1.0,-1.0,-1.0,-1.0,-58.048890829086304,1.505807101726532,146472
24,37.568032262085104,4.706985148872356e-11,3.530238861654267e-09,0,-1.0,-0.59202516,-0.7451368,-0.10417314,-54.62055444717407,1.0,117812
25,13.086818333923913,1.5537585795755149e-06,0.00011653189346816362,7,-0.24774766,-1.0,-1.0,-0.13342464,-60.0,5.321421384811401,160000
26,0.20309527532164107,9.38719679766109e-09,7.040397598245818e-07,2,-1.0,-0.87933517,-1.0,-0.83401614,-20.0,6.0,96000
27,13.490802743564585,2.373914639974828e-06,0.0001780435979981121,7,-0.18832189,-1.0,-1.0,-0.1277198,-41.99780449271202,5.845883250236511,160000
28,0.18538430274026815,1.7955701370198085e-09,1.3466776027648564e-07,2,-1.0,-1.0,0.14555347,-1.0,-38.03653433918953,1.0,152036
29,12.783507845243486,9.420738820153929e-07,7.065554115115447e-05,7,-1.0,-0.91068316,0.3,0.34098208,-28.745180368423462,2.3867002725601196,128304
30,-0.12139997202497588,1.795559922967982e-09,1.3466699422259865e-07,2,-0.71074474,-1.0,-0.21163905,-1.0,-29.376403093338013,1.0,132402
31,9.636469124551384,4.63627181090942e-08,3.4772038581820652e-06,6,-1.0,-0.4776265,-1.0,0.20761836,-25.656734704971313,1.0,160000
32,14.239454597328058,4.15167551182094e-06,0.0003113756633865705,7,-0.43036544,-1.0,-1.0,-0.72922695,-59.6807074546814,4.7697383761405945,129482
33,14.042708315448941,1.6059017582392698e-07,1.2044263186794524e-05,1,-1.0,-0.38459533,0.3,0.7,-54.2068874835968,1.0,160000
34,14.76734681867594,4.139443262829445e-06,0.0003104582447122084,7,-1.0,-0.6085655,-0.08044529,0.7,-34.43750023841858,2.8013834953308105,160000
35,0.30982180274026816,1.7955701370198085e-09,1.3466776027648564e-07,2,-1.0,-0.9066781,-1.0,-1.0,-20.0,1.0,160000
36,14.164604997069356,2.238063643744681e-06,0.00016785477328085108,7,-1.0,0.0,0.3,0.35568213,-41.63735657930374,2.1213362216949463,160000
37,38.560744490248965,2.824566622261493e-11,2.1184249666961197e-09,0,-0.8838732,-1.0,0.3,-0.88105756,-20.0,1.5985403060913086,160000
38,14.172565128407777,1.7520248718483344e-07,1.3140186538862508e-05,1,-0.7172141,-1.0,0.04007858,0.7,-20.0,1.0,160000
39,16.35893451481509,1.105803585232934e-05,0.0008293526889247005,7,-0.15830636,-1.0,-1.0,0.42660224,-57.37525224685669,2.3696998357772827,121058
40,38.234968984185876,4.8059597967942125e-11,3.6044698475956594e-09,0,-0.41010922,-0.2624272,-0.88435864,-0.5255327,-42.96629011631012,1.0,160000
41,13.078282552966566,1.6446824702143203e-07,1.2335118526607403e-05,1,-0.46683192,-1.0,-1.0,0.7,-59.18518900871277,6.0,160000
42,14.266501064342481,2.1945736250472692e-07,1.645930218785452e-05,1,-0.2012471,-0.028122306,-1.0,0.04462585,-24.385145902633667,1.3388053178787231,145120
43,13.038967940406195,1.012193209248835e-07,7.591449069366263e-06,1,-0.86041856,-0.5182545,0.3,0.09442514,-31.90370261669159,6.0,160000
44,14.699101218841761,2.4929849473664945e-07,1.869738710524871e-05,1,-1.0,0.0,-0.2372761,0.53556794,-28.98798942565918,1.0,160000
45,-0.6901781972597318,1.7955701370198085e-09,1.3466776027648564e-07,2,-1.0,-1.0,-1.0,-1.0,-31.687340140342712,1.0,96000
46,12.990436811654023,1.2204180848129909e-06,9.153135636097431e-05,7,-1.0,0.0,-0.6857215,-0.49534202,-20.0,4.351507782936096,157960
47,14.220896829008336,1.8097233578373562e-07,1.3572925183780171e-05,1,-1.0,0.0,0.09493071,0.7,-26.186553239822388,1.0,160000
48,57.36593678910884,1.913995524571721e-11,1.4354966434287908e-09,3,-1.0,-0.022740126,-1.0,-0.9729157,-20.0,6.0,160000
49,-0.07337455117208536,1.7955701370198085e-09,1.3466776027648564e-07,2,0.0,-1.0,-0.7597482,-1.0,-20.0,2.9159817695617676,160000
50,13.488223061496953,2.401341134827817e-06,0.00018010058511208626,7,-1.0,-1.0,-1.0,0.2542081,-20.0,4.417990207672119,114600
51,0.03079055274026815,1.7955701370198085e-09,1.3466776027648564e-07,2,0.0,-1.0,-0.8867467,-1.0,-41.834911704063416,1.0,142142
52,19.058105928727297,2.975524826531739e-10,2.2316436198988043e-08,8,-0.558705,-0.53631806,-1.0,-0.925675,-20.0,3.352685332298279,144148
53,11.870963349849836,6.310880849014211e-07,4.733160636760658e-05,7,0.0,-1.0,-0.76354176,-0.3230441,-31.718448400497437,6.0,160000
54,-0.6664906972597319,1.7955701370198085e-09,1.3466776027648564e-07,2,0.0,-1.0,-1.0,-1.0,-27.288875579833984,1.0,97516
55,12.962987698712771,2.0100952724533272e-07,1.5075714543399954e-05,1,0.0,-1.0,-1.0,-0.30909383,-28.805588483810425,6.0,96000
56,1.5725026055673403,8.932058648269958e-09,6.699043986202469e-07,2,-0.5246118,-1.0,-0.8935479,-0.28643656,-42.59684890508652,1.0,160000
57,13.569228812142716,1.2017940207442734e-06,9.013455155582051e-05,7,-0.5155825,-1.0,-1.0,0.7,-32.9440838098526,1.3691291809082031,160000
58,11.390516110053595,5.971467658127949e-07,4.478600743595962e-05,7,-0.7101653,-1.0,0.16513205,-0.082306385,-20.0,6.0,96000
59,15.73075166216846,1.094990835781573e-07,8.212431268361797e-06,6,-0.50663865,0.0,-0.86683667,0.22365946,-59.48916673660278,1.0,132071
60,19.3277780572914,1.1407760153181457e-10,8.555820114886092e-09,8,-1.0,-0.9536963,-0.026969075,-0.80297774,-43.753721714019775,1.0,151451
61,13.110517440186923,1.6806272640224051e-07,1.2604704480168039e-05,1,0.0,-0.15456372,-1.0,0.7,-54.537376165390015,6.0,160000
62,14.720604171256872,2.8901928317282e-07,2.16764462379615e-05,1,0.0,-1.0,-1.0,0.13610274,-52.74283051490784,1.0,147236
63,13.176941556775313,8.146612344717141e-07,6.109959258537856e-05,7,-1.0,-0.30663317,-0.49218035,0.41989756,-20.0,1.0,160000
64,18.586365171137754,3.158253936152988e-10,2.368690452114741e-08,8,-0.8933672,-1.0,-0.8535203,-0.7408738,-20.0,1.0,96000
65,13.565404402428406,1.8181721088694758e-06,0.00013636290816521068,7,-0.6520418,0.0,-0.40828684,0.7,-60.0,1.0,123252
66,-0.6901781972597318,1.7955701370198085e-09,1.3466776027648564e-07,2,-0.62183523,-0.6466395,-1.0,-1.0,-59.90577697753906,1.0,96000
