step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
327681,1,0.001220703125,19.41182518005371,0.0002558463311288506,0.0,9,0.00015085936,1.0,-1.0,1.0,-20.91007947921753,1.0,55521,0.60814035,0.24018586,-1.0,1.0,0.3580427,-1.0,0.20411682,1.0,0.43233454,-1.0,1.0,0.64447683,-1.0,0.36741027
327682,2,0.00244140625,8.365260124206543,5.880464448715372e-10,0.0,9,-1.0,1.0,-0.42354393,1.0,-20.0,3.344256043434143,32000,-0.15367769,1.0,0.32025337,0.32468736,0.6282571,0.21602845,-0.04327631,-0.27661982,1.0,0.57645607,0.58443725,1.0,0.3888512,-0.077897355
327683,3,0.003662109375,16.70130729675293,1.2542787430902536e-07,0.0,9,0.00015085936,1.0,-1.0,1.0,-20.0,1.0,96007,1.0,1.0,-1.0,1.0,1.0,-0.47915405,1.0,1.0,1.0,-1.0,1.0,1.0,-0.86247724,1.0
327684,4,0.0048828125,17.213733673095703,8.878098469722318e-07,0.0,9,-0.23349571,1.0,-1.0,1.0,-35.362783670425415,1.0,70449,0.42575192,1.0,-1.0,1.0,-0.043421328,-1.0,0.33370006,0.7663534,1.0,-1.0,1.0,-0.078158386,-1.0,0.6006601
327685,5,0.006103515625,17.562959671020508,7.969364901327936e-07,0.0,9,-0.6480118,0.69769514,0.0,0.558802,-20.0,1.0,96007,0.1954652,0.0153359175,1.0,0.03814566,1.0,-1.0,1.0,0.35183737,0.02760465,1.0,0.06866219,1.0,-1.0,1.0
327686,6,0.00732421875,19.330514907836914,4.73964937555138e-05,0.0,9,0.00015085936,1.0,-1.0,1.0,-20.24515151977539,1.0,96007,1.0,1.0,-1.0,1.0,0.3765129,-1.0,0.96536154,1.0,1.0,-1.0,1.0,0.6777232,-1.0,1.0
327687,7,0.008544921875,19.415380477905273,6.119041790952906e-05,0.0,9,-0.29985726,1.0,-0.71338105,1.0,-20.0,1.0,96007,0.3888844,1.0,0.15923274,1.0,1.0,-1.0,1.0,0.6999919,1.0,0.28661892,1.0,1.0,-1.0,1.0
327688,8,0.009765625,19.284664154052734,4.1854786104522645e-05,0.0,9,-0.9012723,1.0,-1.0,1.0,-20.0,1.0,96007,0.054764904,0.37765998,-1.0,0.68767166,0.8470086,-1.0,1.0,0.09857682,0.67978793,-1.0,1.0,1.0,-1.0,1.0
327689,9,0.010986328125,19.315017700195312,5.393604442360811e-05,0.0,9,-0.3012889,1.0,-1.0,1.0,-20.0,1.0,96007,0.38808903,0.6526649,-1.0,0.567875,0.8872709,-1.0,0.71469206,0.69856024,1.0,-1.0,1.0,1.0,-1.0,1.0
327690,10,0.01220703125,17.59226417541504,8.271416618299554e-07,0.0,9,-1.0,1.0,-1.0,1.0,-20.0,1.0,96007,-0.093419686,0.28048503,-1.0,1.0,0.9221035,-1.0,0.80032885,-0.16815543,0.50487304,-1.0,1.0,1.0,-1.0,1.0
327691,11,0.013427734375000002,19.189098358154297,0.0001610941835679114,0.0,3,0.004472226,1.0,-1.0,1.0,-20.0,1.0,54593,0.25059566,1.0,-1.0,1.0,1.0,-1.0,-0.06839597,0.4510722,1.0,-1.0,1.0,1.0,-1.0,-0.123112746
327692,12,0.0146484375,10.873981475830078,5.7668195552196266e-08,0.0,3,0.55340004,1.0,-1.0,1.0,-50.6514573097229,1.0,70869,0.64758694,1.0,-0.8677114,1.0,-0.5166994,-1.0,0.07288486,1.0,1.0,-1.0,1.0,-0.93005884,-1.0,0.13119274
327693,13,0.015869140625,11.715553283691406,7.670412571769702e-08,0.0,3,0.55340004,1.0,-1.0,1.0,-20.0,1.0,113892,1.0,1.0,-0.5775896,1.0,1.0,-1.0,0.44635248,1.0,1.0,-1.0,1.0,1.0,-1.0,0.80343443
327694,14,0.01708984375,17.798572540283203,2.180915089411428e-06,0.0,3,0.55340004,1.0,-1.0,1.0,-20.0,6.399999916553497,126473,0.9189845,0.42039537,-1.0,1.0,1.0,1.0,1.0,1.0,0.75671166,-1.0,1.0,1.0,1.0,1.0
327695,15,0.018310546875,8.500629425048828,5.506742839500589e-10,0.0,3,0.32301348,1.0,-1.0,1.0,-20.0,1.0,38990,0.42756304,1.0,-0.3129388,1.0,0.62304455,-1.0,-0.2038436,0.76961344,1.0,-0.5632898,1.0,1.0,-1.0,-0.36691844
327696,16,0.01953125,17.21832275390625,2.2767112284327595e-07,0.0,3,0.55340004,1.0,-0.6645146,1.0,-21.662113666534424,1.0,109121,1.0,0.54918754,0.18638074,1.0,0.2885602,-0.29162037,0.40493643,1.0,0.98853755,0.33548534,1.0,0.51940835,-0.52491665,0.72888553
327697,17,0.020751953125,11.459400177001953,3.146484317539944e-08,0.0,3,-1.0,1.0,-1.0,1.0,-20.0,1.0,126473,-0.9276917,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
