step,session_step,session_progress_pct,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
61441,1,0.001220703125,10.751840431674921,6.477881697719567e-07,0.0,-0.46863014,-0.8303226,0.21849376,0.98348576,-20.0,2.5104028582572937,160000
61442,2,0.00244140625,13.07903738976866,6.64854178467067e-06,0.0,-1.0,-1.0,-0.2701233,1.0,-60.0,1.0,160000
61443,3,0.003662109375,13.759526399832248,1.3130802472005598e-05,0.0,-1.0,-1.0,-1.0,0.6955254,-60.0,1.0,160000
61444,4,0.0048828125,8.794451515638965,9.062620875965877e-08,0.0,-1.0,0.7259612,-1.0,-0.31632572,-58.257763385772705,1.1283055543899536,160000
61445,5,0.006103515625,15.563200494931413,7.973419269546866e-05,0.0,0.14026248,-1.0,-1.0,1.0,-20.0,1.0,160000
61446,6,0.00732421875,13.70876680183192,1.2480872101150453e-05,0.0,-1.0,-1.0,-0.8071914,0.9998041,-46.007617115974426,1.0,127507
61447,7,0.008544921875,14.75250668790246,3.544524224707857e-05,0.0,0.05370462,-1.0,-1.0,1.0,-32.92921960353851,1.0,160000
61448,8,0.009765625,13.944428104660236,1.5797873857081868e-05,0.0,-1.0,0.041502595,-0.8341689,0.6958823,-20.0,1.0,134866
61449,9,0.010986328125,8.946474359857497,1.0567002561856498e-07,0.0,1.0,-1.0,-0.94360584,0.543151,-60.0,1.0,160000
61450,10,0.01220703125,13.634094634745837,1.1582772458496038e-05,0.0,-0.6034048,-1.0,-0.73454964,1.0,-20.0,1.0,144533
61451,11,0.013427734375000002,9.375902863092538,1.6288561255350942e-07,0.0,-1.0,-0.03926772,-0.48396468,0.46449158,-36.08947664499283,2.1578723788261414,112918
61452,12,0.0146484375,15.705856377002158,9.196021710522473e-05,0.0,-1.0,-0.31692708,-0.09943771,0.4768168,-37.98875629901886,1.0,100120
61453,13,0.015869140625,15.902126302872867,0.00011190249642822891,0.0,-1.0,-0.78458506,-0.9980572,1.0,-42.30308294296265,1.0,160000
61454,14,0.01708984375,15.897999371345353,0.00011144162999698892,0.0,-0.7497436,-0.3682354,-1.0,1.0,-20.0,1.0,160000
61455,15,0.018310546875,15.897999371345353,0.00011144162999698892,0.0,-1.0,-1.0,-1.0,1.0,-21.22535228729248,1.0,160000
61456,16,0.01953125,20.204360864742963,0.008265713229775429,0.0,-1.0,-0.9023727,-1.0,0.15551478,-20.0,1.0,153658
61457,17,0.020751953125,4.969881343613537,5.054560242578887e-11,0.0,-1.0,-1.0,0.82199806,0.62590003,-43.69417130947113,6.6516993045806885,43045
61458,18,0.02197265625,16.045160178606224,0.000129109772387892,0.0,-1.0,-1.0,-1.0,0.944227,-20.0,1.0,160000
61459,19,0.023193359375,17.826732721754276,0.0007668122416362166,0.0,-0.6808328,-1.0,-0.6543739,0.30491328,-27.12079405784607,1.0,110342
61460,20,0.0244140625,20.04047885157329,0.007016285788267851,0.0,-1.0,-1.0,-1.0,0.20298803,-20.0,1.0,160000
61461,21,0.025634765625,18.380705611347608,0.001334371161647141,0.0,-1.0,-1.0,0.41974688,1.0,-50.43740153312683,1.0,160000
61462,22,0.026855468750000003,19.61751033970385,0.004596363287419081,0.0,-1.0,-1.0,-0.44001538,0.9304031,-41.242464780807495,1.0,126582
61463,23,0.028076171874999997,20.21672545653514,0.00836854986846447,0.0,-1.0,-1.0,-0.20984513,0.6680939,-20.0,1.0,115920
61464,24,0.029296875,20.19905818647824,0.008221998810768127,0.0,-1.0,-1.0,-1.0,1.0,-34.607937932014465,1.0,160000
61465,25,0.030517578125,20.140327314543185,0.007753020152449608,0.0,-0.9901668,-1.0,-1.0,0.8773229,-27.104629278182983,1.0,160000
61466,26,0.03173828125,20.19905818647824,0.008221998810768127,0.0,-1.0,-0.58174956,-1.0,1.0,-50.56090593338013,1.0,160000
61467,27,0.032958984375,14.883336555641584,4.0399700083071366e-05,0.0,-1.0,-1.0,-1.0,1.0,-20.0,3.7476412057876587,81461
61468,28,0.0341796875,13.651565137295842,1.1786924915213604e-05,0.0,-1.0,-1.0,-1.0,0.96572065,-23.742964267730713,4.887547850608826,160000
61469,29,0.035400390625,20.19905818647824,0.008221998810768127,0.0,-0.9758428,-1.0,-1.0,1.0,-25.9585702419281,1.0,160000
61470,30,0.03662109375,19.21036599665474,0.003059100592508912,0.0,-1.0,-1.0,-0.31890953,1.0,-20.0,1.0,160000
61471,31,0.037841796875,21.28756914669212,0.024418093264102936,0.0,-0.039896846,-1.0,0.4595157,1.0,-29.839085340499878,1.0,160000
61472,32,0.0390625,22.947179222848067,0.12837228178977966,0.0,-1.0,-1.0,-0.44929457,1.0,-34.00946855545044,1.0,160000
61473,33,0.040283203125,22.67393174657534,0.09767904132604599,0.0,-1.0,-1.0,-0.46409047,1.0,-60.0,1.0,88508
61474,34,0.04150390625,22.54753333841186,0.08608099073171616,0.0,-1.0,-1.0,0.8842617,0.28680485,-20.0,1.0,107077
61475,35,0.042724609375,19.117660611109635,0.002788253827020526,0.0,-1.0,-0.2680869,-1.0,0.8182515,-28.21617603302002,1.0,57439
61476,36,0.0439453125,23.300621217520046,0.18279704451560974,0.0,-1.0,-0.5058217,-1.0,1.0,-58.56891870498657,1.0,160000
61477,37,0.045166015625,22.573421959114807,0.08833860605955124,0.0,-1.0,0.19212604,-0.06294811,0.042909563,-60.0,1.0,160000
