cluster,count,score,bonus,reward,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
0,647,4.9687673575145646e-11,3.726575518135924e-09,37.02718720872288,-0.49144836563863986,-0.5668483875222565,-0.7158254907938176,-0.5095285921230294,-35.09916322780816,1.1225434140038821,137621.76661514683
1,13858,2.0673096587494785e-07,1.550482244062109e-05,13.25553217337278,-0.45541506481993144,-0.42384498773656637,-0.5936430310713693,0.647347822965657,-35.48715184957756,2.258968423757912,134795.01876172607
2,6770,1.4198876679963461e-08,1.0649157509972597e-06,1.2129517826647078,-0.4659877725245746,-0.452583828915678,-0.5767598805216884,0.029189834721029543,-36.119976813790764,1.791613952866157,134058.28360413588
3,257,2.048844237777026e-11,1.5366331783327695e-09,58.149384071102084,-0.49066219365758756,-0.5971891404143969,-0.7307127773190661,-0.7148607458988326,-34.76728377871012,1.184456423098939,137933.29961089493
4,2603,1.5457207438496162e-09,1.1592905578872121e-07,9.846591056798308,-0.47792123360277755,-0.5149538939957242,-0.5952117805271225,0.12098838910297734,-35.45077062978134,1.4664294667258613,133748.20860545523
5,22120,0.01595850291102418,1.1968877183268156,78.10479069322837,-0.3772665384139675,-0.2320707885478332,-0.7513629408116375,0.7191280324516591,-32.571700919256166,1.530709140272188,135414.7043851718
6,8641,8.267139348771008e-08,6.200354511578256e-06,11.1529503846315,-0.4643383415252808,-0.4374551161133634,-0.5525073956139406,0.5363860019597025,-36.68162053299835,2.1628036614873456,134148.8767503761
7,25637,3.400866339381703e-06,0.0002550649754535964,14.196074838970446,-0.42331439140820887,-0.37774186943356564,-0.6572537291622472,0.6981247067497025,-33.28341043911016,2.1354149621641616,134793.90006631042
8,1320,1.983923413808395e-10,1.4879425603562963e-08,19.42718207423021,-0.5002059497523182,-0.5142872992696667,-0.6048424048370454,-0.16747771985333335,-35.15528054905096,1.2058995740883278,133945.28787878787
9,67,1.2272997838784804e-11,9.204748379088604e-10,198.15750169600778,-0.541807383119403,-0.6737278987164179,-0.719584951597015,-0.8408953576119403,-35.73591325598866,1.003592518728171,144535.68656716417
