step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
15157,73.70009993249931,0.9745182394981384,48.72591197490692,-1.0,0.10910392,-1.0,0.34123486,-58.71692776679993,1.0596845149993896,150284
52736,73.69640159289142,0.9744457602500916,48.72228801250458,-1.0,-0.2826646,0.34930813,-0.5074101,-40.11254198849201,1.0,160000
57356,73.69549525553168,0.9744279980659484,48.721399903297424,-1.0,-1.0,0.18738937,-0.29534227,-59.6891176700592,1.0,160000
24907,73.69413879027181,0.9744014143943788,48.72007071971893,-1.0,-1.0,-0.083060205,-0.58557105,-20.0,1.0,160000
5251,73.68767580095269,0.974274754524231,48.71373772621155,-1.0,-0.8586421,-0.84420156,-0.6694797,-60.0,1.0,160000
57357,73.68475604494174,0.9742175340652466,48.71087670326233,-0.12939125,-1.0,-0.056922615,-0.55243635,-20.0,1.0,160000
41153,73.683454319275,0.9741920232772828,48.709601163864136,-1.0,-0.5926441,-0.60382235,-0.73139703,-54.299232959747314,1.0,114594
46665,73.68237765780822,0.9741709232330322,48.70854616165161,-0.2745828,-1.0,-1.0,-0.58995104,-20.0,1.0,160000
59670,73.68230162237616,0.9741694331169128,48.70847165584564,-0.5763957,-1.0,-1.0,-0.8303566,-20.0,1.0,160000
57914,73.68177545712221,0.9741591215133668,48.707956075668335,-0.7521397,-1.0,-0.9869746,-0.21810022,-46.403706073760986,1.0,137296
26425,73.68169029741739,0.974157452583313,48.70787262916565,-1.0,-1.0,-0.66961086,-0.2619743,-28.67343544960022,1.0,102961
37769,73.67974987191944,0.9741194248199464,48.705971240997314,0.0660522,-1.0,-0.20148993,-0.51191545,-30.52210032939911,1.0,152286
48296,73.67796759888111,0.974084496498108,48.7042248249054,-1.0,-1.0,-0.5474125,-0.3267832,-41.78116828203201,1.0,147358
53643,73.67762695951923,0.9740778207778932,48.70389103889465,-1.0,-0.6806354,-0.6658849,-0.91463673,-60.0,1.0,160000
1131,73.67742318416423,0.9740738272666932,48.703691363334656,-1.0,-1.0,-1.0,-0.44968024,-60.0,1.0,155207
35299,73.67666282821362,0.9740589261054992,48.70294630527496,-0.07145649,-1.0,-1.0,-0.49450895,-30.00382661819458,1.0,130040
42645,73.67516644701932,0.9740296006202698,48.70148003101349,-1.0,-1.0,-0.5951119,-0.71094406,-20.0,1.0,137424
15030,73.67509953564394,0.9740282893180848,48.70141446590424,-0.30671793,-1.0,-0.8820114,-0.90240073,-58.13989281654358,1.0,109852
57615,73.67504174854555,0.974027156829834,48.7013578414917,-1.0,-1.0,-1.0,-0.13040668,-58.286370038986206,1.0,135063
26935,73.67488967722755,0.9740241765975952,48.70120882987976,-1.0,-0.24246997,-1.0,-0.34658706,-57.39417791366577,1.0,111688
5754,73.67475889588658,0.97402161359787,48.70108067989349,-1.0,-1.0,-0.21510887,-0.6011132,-50.31410098075867,1.0,135615
18337,73.67449733318388,0.9740164875984192,48.70082437992096,-1.0,-1.0,0.7178518,-0.84794056,-34.26513373851776,1.0,160000
48766,73.6733385492492,0.9739937782287598,48.69968891143799,-1.0,-1.0,-0.5845804,-0.26942134,-56.23238444328308,1.0,160000
44134,73.67329292782333,0.973992884159088,48.69964420795441,-0.09870362,-0.85536784,-1.0,0.059918642,-27.682756185531616,1.0,118154
52221,73.6728002163702,0.9739832282066344,48.699161410331726,-0.800449,-1.0,0.08127606,-0.6165501,-28.22795867919922,1.0,153156
40954,73.67248999059004,0.9739771485328674,48.69885742664337,-0.45955288,-1.0,-1.0,-0.66225386,-35.72339862585068,1.0,160000
4749,73.67217672334111,0.9739710092544556,48.69855046272278,-1.0,-0.36002362,-1.0,-0.82175976,-42.42270305752754,1.0,160000
45611,73.67216151619209,0.9739707112312316,48.698535561561584,-0.9536154,0.28832984,-1.0,-0.7149472,-33.00657272338867,1.0,160000
27935,73.67197598896655,0.9739670753479004,48.69835376739502,-1.0,-0.8071623,0.055466294,-0.38046187,-41.24155230820179,1.0,137429
