step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
411171,1571,1.917724609375,99.48886108398438,0.9557908177375792,75.0,8,-1.0,0.75518364,-1.0,0.84010077,-20.0,1.0,130181,-1.0,0.041802526,-0.95690954,1.0,0.6844187,-1.0,0.0022140741,-1.0,0.075244546,-1.0,1.0,1.0,-1.0,0.0039853333
414425,4825,5.889892578125,99.92608642578124,0.93819260597229,75.0,8,-1.0,1.0,-1.0,0.85369253,-20.0,1.0505825877189636,160000,-0.72374004,1.0,-0.45916063,1.0,1.0,0.005620122,1.0,-1.0,1.0,-0.8264891,1.0,1.0,0.0101162195,1.0
414826,5226,6.37939453125,98.8880844116211,0.6459978222846985,75.0,1,-1.0,0.96,-0.45556226,0.8212911,-20.0,1.0,116803,-0.9121117,0.84389997,0.002465412,0.028495073,0.8662063,-0.1575246,-0.263857,-1.0,1.0,0.0044377414,0.05129113,1.0,-0.28354427,-0.4749426
417099,7499,9.154052734375,98.16548919677734,0.972150981426239,75.0,3,-1.0,1.0,-1.0,1.0,-20.0,1.0,44399,-0.9603553,1.0,-0.807768,1.0,0.9392034,-1.0,-0.6354528,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
430415,20815,25.408935546875,98.45413208007812,0.9269234538078308,75.0,8,-0.7956455,0.6855114,-1.0,0.84002817,-44.60005283355713,1.0,65921,-0.21981946,0.0030713677,-0.48222202,1.0,-0.572539,-1.0,-1.0,-0.395675,0.0055284617,-0.8679996,1.0,-1.0,-1.0,-1.0
421592,11992,14.638671875,98.88044738769533,0.9235472083091736,75.0,4,-0.06250617,1.0,-1.0,1.0,-20.0,1.0,93439,-0.17361455,1.0,-1.0,0.7599128,1.0,-1.0,-1.0,-0.31250617,1.0,-1.0,1.0,1.0,-1.0,-1.0
421599,11999,14.647216796875002,99.91779327392578,0.921084463596344,75.0,4,-0.75,0.49446687,-1.0,1.0,-20.0,1.0,160000,-1.0,0.21914828,-0.28375417,1.0,1.0,-0.8475219,0.6717328,-1.0,0.39446688,-0.5107575,1.0,1.0,-1.0,1.0
424506,14906,18.19580078125,99.93351745605467,0.9356813430786132,75.0,1,-1.0,0.6110384,-1.0,1.0,-20.0,1.0,160000,-1.0,0.36168814,-1.0,1.0,1.0,-0.54009455,0.895754,-1.0,0.65103865,-1.0,1.0,1.0,-0.9721702,1.0
428894,19294,23.55224609375,99.80636596679688,0.8239606022834778,75.0,0,-0.12271613,1.0,-1.0,1.0,-37.09267497062683,1.0,160000,-0.011542693,1.0,-0.5467589,1.0,-0.3322997,-1.0,0.46979147,-0.020776847,1.0,-0.98416597,1.0,-0.59813946,-1.0,0.8456246
436989,27389,33.433837890625,99.90081787109376,0.9055774211883544,75.0,4,0.03747727,1.0,-1.0,1.0,-46.00000023841858,1.0,160000,-0.11806819,1.0,-1.0,0.76410395,-0.740111,-0.2012881,1.0,-0.21252273,1.0,-1.0,1.0,-1.0,-0.36231858,1.0
