step,session_step,session_progress_pct,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
95577,34137,41.671142578125,96.99343797706489,0.97459077835083,72.01917558663985,0.14109385,-1.0,-1.0,0.43063587,-42.33433663845062,1.0,160000
112522,51082,62.35595703125,96.9921799374066,0.9744918346405028,72.01801907547468,-0.4529661,-0.4369236,-1.0,-0.10596502,-20.0,1.0,122767
134634,73194,89.34814453125,96.99053471307894,0.9743624925613404,72.01650658767578,-1.0,-1.0,-0.5492875,0.8457727,-28.05038690567017,1.0,160000
75171,13731,16.761474609375,96.99030947738012,0.974344789981842,72.01629952051323,-1.0,0.00042057037,0.23612654,0.2625764,-20.0,1.0,135438
87699,26259,32.054443359375,96.9902852087008,0.9743428826332092,72.01627720940635,-1.0,-1.0,-0.056238323,0.046507776,-35.28619319200516,1.0,160000
80379,18939,23.118896484375,96.99025638942688,0.9743406176567078,72.01625071475465,-1.0,-1.0,-1.0,-0.5084818,-21.20516538619995,1.0,160000
82731,21291,25.989990234375,96.99016007066808,0.9743330478668212,72.01616216516729,-1.0,0.3759408,-1.0,0.057693303,-60.0,1.0,160000
132180,70740,86.3525390625,96.98985744577062,0.974309265613556,72.01588394931922,-1.0,-1.0,-1.0,-0.67055714,-38.44428300857544,1.0,124483
67862,6422,7.839355468750001,96.98977552779162,0.9743028283119202,72.01580863840341,-0.6406149,-0.792031,-1.0,-0.4273635,-20.0,1.0,111221
101313,39873,48.673095703125,96.98973532660484,0.9742996692657472,72.01577167958769,-0.35272902,0.3377117,-0.7726903,0.52471554,-46.15043520927429,1.0,151836
72180,10740,13.1103515625,96.9896890567463,0.9742960333824158,72.01572914152771,-1.0,0.11469424,-1.0,-0.16818213,-20.0,1.0,119205
83037,21597,26.363525390625,96.98965719845752,0.9742935299873352,72.0156998526821,-0.6864126,0.07989633,-0.14386919,-0.39928108,-40.98097205162048,1.0,160000
108840,47400,57.861328125,96.98872863029446,0.97422057390213,72.01484616833439,-0.9142039,-1.0,-0.8809885,-0.8884202,-33.7754225730896,1.0,160000
83035,21595,26.361083984375,96.9885381828789,0.9742056131362916,72.01467107768823,-1.0,-0.8989168,-1.0,1.0,-40.38597643375397,1.0,160000
134636,73196,89.3505859375,96.9885381828789,0.9742056131362916,72.01467107768823,-1.0,-1.0,-1.0,1.0,-60.0,1.0,160000
134631,73191,89.344482421875,96.9885381828789,0.9742056131362916,72.01467107768823,-1.0,-0.84526557,-1.0,1.0,-20.0,1.0,160000
108831,47391,57.85034179687501,96.9885381828789,0.9742056131362916,72.01467107768823,-0.47950405,-1.0,-1.0,1.0,-43.69920015335083,1.0,160000
134637,73197,89.351806640625,96.9885381828789,0.9742056131362916,72.01467107768823,-1.0,-0.18444413,-1.0,1.0,-20.0,1.0,157549
67869,6429,7.847900390625,96.9882809487096,0.9741854071617126,72.0144345847093,-1.0,-1.0,-0.1561616,-0.3969291,-60.0,1.0,160000
95572,34132,41.6650390625,96.9882202417414,0.9741806387901306,72.01437877248006,-1.0,-0.29012728,-1.0,0.16074914,-58.77230167388916,1.0,160000
95580,34140,41.6748046875,96.98800092910308,0.9741634130477904,72.01417714228577,-1.0,0.0892905,-0.84561884,0.15768272,-38.79733979701996,1.0,160000
75180,13740,16.7724609375,96.98788709363188,0.9741544723510742,72.01407248467696,-1.0,-0.4740897,0.022383928,-0.09248936,-20.0,1.024612545967102,99219
63514,2074,2.53173828125,96.98779222792956,0.9741470217704772,72.01398526725761,-0.813123,-0.4046855,-1.0,-0.5408464,-20.0,1.0,99816
142393,80953,98.819580078125,96.98771861038438,0.974141240119934,72.01391758482035,-0.3131609,-1.0,-1.0,0.99158907,-50.09180068969727,1.0,78270
69774,8334,10.17333984375,96.9876943238465,0.9741393327713012,72.01389525626394,-0.46137798,-1.0,-1.0,-0.15041316,-38.79911124706268,1.0,160000
75179,13739,16.771240234375,96.98715390507591,0.9740968942642212,72.01339840357274,-1.0,-1.0,-0.6282554,0.5866349,-32.07338869571686,1.0,160000
126772,65332,79.7509765625,96.9870332103492,0.974087417125702,72.01328743804714,-1.0,-0.753868,-1.0,0.2509563,-20.0,1.0,147283
123090,61650,75.25634765625,96.98703169215024,0.9740872979164124,72.01328604222866,-1.0,-1.0,-1.0,-0.1838516,-30.19706428050995,1.0,160000
139922,78482,95.80322265625,96.98686013145172,0.9740738272666932,72.01312831062216,-1.0,0.021903217,-1.0,-0.3559528,-20.0,1.0,160000
131784,70344,85.869140625,96.9866597136876,0.9740580916404724,72.01294404743774,-0.0027236938,-1.0,0.7195963,-0.395182,-60.0,1.0,160000
105855,44415,54.217529296875,96.98656101893394,0.9740503430366516,72.01285330768668,0.022470355,-1.0,-1.0,-0.38240242,-60.0,1.0,160000
64994,3554,4.33837890625,96.98649876389868,0.97404545545578,72.01279607045483,-1.0,0.11569476,-1.0,0.026598632,-20.0,1.0,160000
83270,21830,26.64794921875,96.98648585722935,0.9740444421768188,72.01278420406497,-1.0,-0.7243297,-0.61574763,-0.5489916,-47.21486568450928,1.0,160000
90985,29545,36.065673828125,96.98647598739151,0.9740436673164368,72.01277512973569,-1.0,-1.0,-0.5774362,-0.626299,-44.1823136806488,1.0,160000
87700,26260,32.0556640625,96.9863491954782,0.9740337133407592,72.01265855710396,-1.0,-0.43389165,1.0,-0.2864511,-27.141908407211304,1.0,160000
100118,38678,47.21435546875,96.98633856600878,0.9740328788757324,72.01264878434554,-1.0,-1.0,-1.0,-0.31219065,-57.91812419891357,1.0,155453
95400,33960,41.455078125,96.98630743666398,0.9740304350852966,72.01262016394428,-1.0,0.19839257,-0.64586705,-0.10454035,-44.41599488258362,1.0,160000
83040,21600,26.3671875,96.98618747222754,0.974021017551422,72.0125098681784,-1.0,-1.0,-1.0,0.9495004,-26.43252849578857,1.0,160000
89312,27872,34.0234375,96.9861791201211,0.9740203619003296,72.01250218921072,-1.0,-1.0,-1.0,-0.35681796,-24.45498824119568,1.0,128441
137521,76081,92.872314453125,96.98617456441832,0.9740200042724608,72.01249800067475,-1.0,0.33411705,-0.73644316,1.0,-32.698153257369995,1.0,160000
137094,75654,92.35107421875,96.98614571149736,0.9740177392959596,72.01247147314662,-1.0,-0.4889546,-0.58055556,-0.624702,-26.962532997131348,1.0,160000
128613,67173,81.998291015625,96.98609407936516,0.9740136861801147,72.01242400225719,0.0031479597,-1.0,-0.76426494,0.2737186,-37.701972126960754,1.0,76175
100980,39540,48.2666015625,96.985848816409,0.9739944338798524,72.01219850544065,-1.0,-1.0,-1.0,0.29370975,-21.561570167541504,1.0,160000
61892,452,0.5517578125,96.98582907313794,0.973992884159088,72.01218035326902,-0.44224203,-1.0,-1.0,-0.07154065,-30.510621666908264,1.0,160000
83121,21681,26.466064453125,96.98578123321484,0.9739891290664672,72.01213636871276,-1.0,-1.0,0.023119867,-0.434496,-35.58941215276718,1.0,160000
74904,13464,16.435546875,96.98559973934952,0.973974883556366,72.01196950089799,-0.9563682,-1.0,-0.6004505,-0.5874187,-20.0,1.0,160000
109067,47627,58.138427734375,96.98531267139892,0.9739523530006408,72.01170556579885,-1.0,-1.0,-0.713541,-0.11808419,-28.71592402458191,1.0,160000
135091,73651,89.906005859375,96.98522912871566,0.9739457964897156,72.01162875499828,-1.0,-0.055412948,-0.7155683,-0.7828715,-49.51842904090881,1.0,152795
77017,15577,19.014892578125,96.98522912871566,0.9739457964897156,72.01162875499828,-1.0,-0.88647664,-1.0,-0.08879185,-35.56318044662476,1.0,160000
108534,47094,57.48779296874999,96.98522685025112,0.9739456176757812,72.01162666013118,-1.0,-1.0,-1.0,-0.50399697,-38.607197999954224,1.0,74912
100910,39470,48.18115234375,96.98510988709336,0.9739364385604858,72.01151912168707,-0.8906171,-0.35974032,-1.0,-0.48278868,-56.66633367538452,1.0,160000
100974,39534,48.25927734375,96.98507798737698,0.9739339351654052,72.01148979236254,-1.0,-0.7618258,-1.0,-0.0003979206,-40.91554045677185,1.0,160000
106084,44644,54.49707031249999,96.98506811359674,0.9739331603050232,72.01148071418112,-1.0,-1.0,-1.0,-0.9290476,-32.32185244560242,1.0,110466
74910,13470,16.44287109375,96.98505064453325,0.9739317893981934,72.01146465271707,-1.0,-1.0,0.30457258,-0.74083626,-20.0,1.0,160000
82738,21298,25.998535156250004,96.98503773256108,0.9739307761192322,72.01145278114579,-1.0,-1.0,-1.0,-0.5291614,-20.0,1.0,160000
72733,11293,13.785400390625,96.98496025973527,0.9739246964454652,72.01138155074798,-1.0,-0.49201065,-1.0,-0.54227734,-47.81062841415405,1.0,160000
69566,8126,9.91943359375,96.98487215131568,0.9739177823066713,72.01130054160758,-1.0,-1.0,-1.0,0.2460269,-49.62698042392731,1.0,160000
119466,58026,70.83251953125,96.9847597339288,0.9739089608192444,72.01119718199492,-0.58039254,-0.1078099,-1.0,-0.5847194,-48.43802809715271,1.0,160000
95364,33924,41.4111328125,96.98475213803016,0.9739083647727966,72.01119019811101,-0.5880604,-0.7535737,-0.19633526,-0.9493169,-32.57314205169678,1.0,148011
63320,1880,2.294921875,96.9847498592574,0.9739081859588624,72.01118810294273,-1.0,-1.0,-0.28736556,-0.7578724,-44.31084394454956,1.0,160000
